0.778061,1.63043,1.61176,0.777759,0.778061,1.63043,1.61176,0.777759,0.778061,1.58197,1.5651,0.777759,0.778061,1.58197,1.5651,0.777759,-0.777759,-1.5651,-1.58197,-0.778061,-0.777759,-1.5651,-1.58197,-0.778061,-0.777759,-1.61176,-1.63043,-0.778061,-0.777759,-1.61176,-1.63043,-0.778061
1.51626,3.09831,2.97508,1.51406,1.51626,3.09831,2.97508,1.51406,1.51626,2.79252,2.70629,1.51406,1.51626,2.79252,2.70629,1.51406,-1.51406,-2.70629,-2.79252,-1.51626,-1.51406,-2.70629,-2.79252,-1.51626,-1.51406,-2.97508,-3.09831,-1.51626,-1.51406,-2.97508,-3.09831,-1.51626
2.18272,4.30166,3.98764,2.17633,2.18272,4.30166,3.98764,2.17633,2.18272,3.56103,3.40221,2.17633,2.18272,3.56103,3.40221,2.17633,-2.17633,-3.40221,-3.56103,-2.18272,-2.17633,-3.40221,-3.56103,-2.18272,-2.17633,-3.98764,-4.30166,-2.18272,-2.17633,-3.98764,-4.30166,-2.18272
2.75805,5.21421,4.68102,2.74556,2.75805,5.21421,4.68102,2.74556,2.75805,4.01024,3.81686,2.74556,2.75805,4.01024,3.81686,2.74556,-2.74556,-3.81686,-4.01024,-2.75805,-2.74556,-3.81686,-4.01024,-2.75805,-2.74556,-4.68102,-5.21421,-2.75805,-2.74556,-4.68102,-5.21421,-2.75805
3.23548,5.86197,5.13417,3.21597,3.23548,5.86197,5.13417,3.21597,3.23548,4.27127,4.07842,3.21597,3.23548,4.27127,4.07842,3.21597,-3.21597,-4.07842,-4.27127,-3.23548,-3.21597,-4.07842,-4.27127,-3.23548,-3.21597,-5.13417,-5.86197,-3.23548,-3.21597,-5.13417,-5.86197,-3.23548
3.61794,6.29264,5.41937,3.59146,3.61794,6.29264,5.41937,3.59146,3.61794,4.4268,4.2531,3.59146,3.61794,4.4268,4.2531,3.59146,-3.59146,-4.2531,-4.4268,-3.61794,-3.59146,-4.2531,-4.4268,-3.61794,-3.59146,-5.41937,-6.29264,-3.61794,-3.59146,-5.41937,-6.29264,-3.61794
3.91422,6.55564,5.58869,3.88152,3.91422,6.55564,5.58869,3.88152,3.91422,4.52043,4.3719,3.88152,3.91422,4.52043,4.3719,3.88152,-3.88152,-4.3719,-4.52043,-3.91422,-3.88152,-4.3719,-4.52043,-3.91422,-3.88152,-5.58869,-6.55564,-3.91422,-3.88152,-5.58869,-6.55564,-3.91422
4.13575,6.69348,5.67692,4.09792,4.13575,6.69348,5.67692,4.09792,4.13575,4.57418,4.45016,4.09792,4.13575,4.57418,4.45016,4.09792,-4.09792,-4.45016,-4.57418,-4.13575,-4.09792,-4.45016,-4.57418,-4.13575,-4.09792,-5.67692,-6.69348,-4.13575,-4.09792,-5.67692,-6.69348,-4.13575
4.2944,6.73965,5.70722,4.25259,4.2944,6.73965,5.70722,4.25259,4.2944,4.59951,4.49671,4.25259,4.2944,4.59951,4.49671,4.25259,-4.25259,-4.49671,-4.59951,-4.2944,-4.25259,-4.49671,-4.59951,-4.2944,-4.25259,-5.70722,-6.73965,-4.2944,-4.25259,-5.70722,-6.73965,-4.2944
4.40123,6.7195,5.69534,4.35651,4.40123,6.7195,5.69534,4.35651,4.40123,4.60301,4.51755,4.35651,4.40123,4.60301,4.51755,4.35651,-4.35651,-4.51755,-4.60301,-4.40123,-4.35651,-4.51755,-4.60301,-4.40123,-4.35651,-5.69534,-6.7195,-4.40123,-4.35651,-5.69534,-6.7195,-4.40123
4.46596,6.65182,5.65239,4.41925,4.46596,6.65182,5.65239,4.41925,4.46596,4.58897,4.51726,4.41925,4.46596,4.58897,4.51726,4.41925,-4.41925,-4.51726,-4.58897,-4.46596,-4.41925,-4.51726,-4.58897,-4.46596,-4.41925,-5.65239,-6.65182,-4.46596,-4.41925,-5.65239,-6.65182,-4.46596
4.49683,6.55041,5.58642,4.44887,4.49683,6.55041,5.58642,4.44887,4.49683,4.56053,4.49956,4.44887,4.49683,4.56053,4.49956,4.44887,-4.44887,-4.49956,-4.56053,-4.49683,-4.44887,-4.49956,-4.56053,-4.49683,-4.44887,-5.58642,-6.55041,-4.49683,-4.44887,-5.58642,-6.55041,-4.49683
