-3.99616,-3.47622,-6.20056
-0.779694,-4.81194,-8.07825
0.230557,-5.31918,-8.57909
0.213681,-5.45168,-8.42866
-0.207842,-5.37538,-8.08301
-0.74645,-5.162,-7.75762
-1.2635,-4.86936,-7.53313
-1.68517,-4.56117,-7.41961
-1.96981,-4.3011,-7.39504
-2.1027,-4.13282,-7.43042
-2.10065,-4.06201,-7.50329
-2.00753,-4.0574,-7.60103
-1.87574,-4.07181,-7.71842
-1.74721,-4.06504,-7.85373
-1.64618,-4.01416,-8.00565
-1.58172,-3.91224,-8.17204
-1.55326,-3.76293,-8.34982
-1.55504,-3.57542,-8.53556
-1.57865,-3.36128,-8.72609
-1.61411,-3.13311,-8.9188
-1.65001,-2.90433,-9.11168
-1.67356,-2.68921,-9.30325
-1.67142,-2.50226,-9.49233
-1.63214,-2.35585,-9.678
-1.55007,-2.25647,-9.85944
-1.42844,-2.20165,-10.0359
-1.27873,-2.18058,-10.2066
-1.1165,-2.17839,-10.3711
-0.956521,-2.18095,-10.5285
-0.810149,-2.17753,-10.6782
-0.684916,-2.16119,-10.8198
-0.585225,-2.12812,-10.9525
-0.513226,-2.0767,-11.0759
-0.46939,-2.00694,-11.1895
-0.45267,-1.92027,-11.2929
-0.460244,-1.8198,-11.3858
-0.486919,-1.71084,-11.4681
-0.524438,-1.60158,-11.5398
-0.561492,-1.50303,-11.6013
-0.585722,-1.42699,-11.6531
-0.588339,-1.38146,-11.6961
-0.568763,-1.36596,-11.7311
-0.534714,-1.37154,-11.7596
-0.49737,-1.38562,-11.7829
-0.466252,-1.39721,-11.8024
-0.447055,-1.39915,-11.8197
-0.441923,-1.3879,-11.8361
-0.450519,-1.36253,-11.8529
-0.470984,-1.32383,-11.8711
-0.500481,-1.27379,-11.8916
-0.5354,-1.21539,-11.9151
-0.5713,-1.15268,-11.9419
-0.60281,-1.09088,-11.9722
-0.623827,-1.03611,-12.006
-0.628416,-0.994523,-12.043
-0.612556,-0.970475,-12.0829
-0.575924,-0.964747,-12.1252
-0.522325,-0.974073,-12.1695
-0.458265,-0.992541,-12.2151
-0.390786,-1.01375,-12.2613
-0.325929,-1.0323,-12.3076
-0.268217,-1.04436,-12.3533
-0.22077,-1.04746,-12.3976
-0.185612,-1.04025,-12.44
-0.163901,-1.02218,-12.4798
-0.15598,-0.993501,-12.5164
-0.161225,-0.955351,-12.5493
-0.177681,-0.910106,-12.578
-0.20159,-0.861821,-12.6024
-0.227185,-0.816411,-12.6222
-0.247455,-0.780861,-12.6375
-0.256537,-0.760825,-12.6485
-0.252706,-0.757629,-12.6555
